Albany Park           ,470
Archer Heights        ,408
Armour Square         ,27
Ashburn               ,3561
Auburn Gresham        ,2726
Austin                ,3187
Avalon Park           ,909
Avondale              ,404
Belmont Cragin        ,2829
Beverly               ,781
Bridgeport            ,307
Brighton Park         ,626
Burnside              ,292
Calumet Heights       ,1089
Chatham               ,1492
Chicago Lawn          ,3279
Clearing              ,968
Douglas               ,189
Dunning               ,1889
East Garfield         ,260
East Side             ,697
Edgewater             ,172
Edison Park           ,201
Englewood             ,1298
Forest Glen           ,490
Fuller Park           ,101
Gage Park             ,1438
Garfield Ridge        ,1488
Grand Boulevard       ,338
Greater Grand Crossing,1363
Hegewisch             ,300
Hermosa               ,596
Humboldt Park         ,1464
Hyde Park             ,82
Irving Park           ,829
Jefferson Park        ,614
Kenwood               ,218
Lakeview              ,146
Lincoln Park          ,214
Lincoln Square        ,223
Logan Square          ,636
Loop                  ,3
Lower West Side       ,155
McKinley Park         ,236
Montclare             ,648
Morgan Park           ,1540
Mount Greenwood       ,560
Near North Side       ,91
Near South Side       ,84
Near West Side        ,304
New City              ,945
North Center          ,208
North Cook            ,10141
North Lawndale        ,472
North Park            ,284
Northwest Cook        ,19133
Norwood Park          ,962
O'Hare                ,29
Oakland               ,88
Portage Park          ,1770
Pullman               ,496
Riverdale             ,144
Rogers Park           ,230
Roseland              ,3604
South Chicago         ,1302
South Cook            ,39623
South Deering         ,1060
South Lawndale        ,785
South Shore           ,1230
Southwest Cook        ,16205
Uptown                ,64
Washingon Park        ,72
Washington Heights    ,2302
West Cook             ,24483
West Elsdon           ,868
West Englewood        ,2753
West Garfield         ,240
West Lawn             ,2049
West Pullman          ,2958
West Ridge            ,738
West Town             ,494
Woodlawn              ,326
